,Airport_score,url
202,0.80,https://teleport.org/cities/rome/
203,0.98,https://teleport.org/cities/rotterdam/
204,0.50,https://teleport.org/cities/saint-petersburg/
205,0.43,https://teleport.org/cities/salt-lake-city/
206,0.22,https://teleport.org/cities/san-antonio/
207,0.40,https://teleport.org/cities/san-diego/
208,0.51,https://teleport.org/cities/san-francisco-bay-area/
209,0.24,https://teleport.org/cities/san-jose/
210,0.28,https://teleport.org/cities/san-juan/
211,0.11,https://teleport.org/cities/san-luis-obispo/
212,0.21,https://teleport.org/cities/san-salvador/
213,0.24,https://teleport.org/cities/santiago/
214,0.20,https://teleport.org/cities/santo-domingo/
215,0.45,https://teleport.org/cities/sao-paulo/
216,0.14,https://teleport.org/cities/sarajevo/
217,0.13,https://teleport.org/cities/saskatoon/
218,0.45,https://teleport.org/cities/seattle/
219,0.62,https://teleport.org/cities/seoul/
220,0.28,https://teleport.org/cities/seville/
221,0.77,https://teleport.org/cities/shanghai/
222,0.60,https://teleport.org/cities/singapore/
223,0.22,https://teleport.org/cities/skopje/
224,0.25,https://teleport.org/cities/sofia/
225,0.32,https://teleport.org/cities/st-louis/
226,0.56,https://teleport.org/cities/stockholm/
227,0.39,https://teleport.org/cities/stuttgart/
228,0.41,https://teleport.org/cities/sydney/
229,0.50,https://teleport.org/cities/taipei/
230,0.20,https://teleport.org/cities/tallinn/
231,0.46,https://teleport.org/cities/tampa-bay-area/
232,0.13,https://teleport.org/cities/tampere/
233,0.10,https://teleport.org/cities/tartu/
234,0.31,https://teleport.org/cities/tashkent/
235,0.18,https://teleport.org/cities/tbilisi/
236,0.38,https://teleport.org/cities/tehran/
237,0.39,https://teleport.org/cities/tel-aviv/
238,0.98,https://teleport.org/cities/the-hague/
239,0.29,https://teleport.org/cities/thessaloniki/
240,0.63,https://teleport.org/cities/tokyo/
241,0.65,https://teleport.org/cities/toronto/
242,0.27,https://teleport.org/cities/toulouse/
243,0.32,https://teleport.org/cities/tunis/
244,0.20,https://teleport.org/cities/turin/
245,0.12,https://teleport.org/cities/turku/
246,0.56,https://teleport.org/cities/uppsala/
247,0.98,https://teleport.org/cities/utrecht/
248,0.31,https://teleport.org/cities/valencia/
249,0.38,https://teleport.org/cities/valletta/
250,0.42,https://teleport.org/cities/vancouver/
251,0.18,https://teleport.org/cities/victoria/
252,0.65,https://teleport.org/cities/vienna/
253,0.26,https://teleport.org/cities/vilnius/
254,0.45,https://teleport.org/cities/warsaw/
255,0.69,https://teleport.org/cities/washington-dc/
256,0.17,https://teleport.org/cities/wellington/
257,0.18,https://teleport.org/cities/winnipeg/
258,0.21,https://teleport.org/cities/wroclaw/
259,0.22,https://teleport.org/cities/yerevan/
260,0.19,https://teleport.org/cities/zagreb/
261,0.61,https://teleport.org/cities/zurich/
