,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity
147,9,0,Manila,73.0,0.12,96,6961.63,0.03,0.07,12.5,630,736,0.265
148,3,19,Marseille,77.0,0.2,81,40374.53,0.01,0.1,12.7,950,220,0.595
149,26,48,Medellin,89.16,0.16,45,13430.45,0.01,0.1,12.5,510,188,0.095
150,1,16,Melbourne,79.0,0.1,125,46433.3,0.07,0.06,12.6,1600,404,0.28500000000000003
151,16,16,Memphis,70.0,0.09,52,54596.65,0.01,0.05,118.0,996,231,0.16499999999999998
152,11,46,Mexico-City,61.0,0.16,217,17880.51,0.01,0.04,12.5,710,441,0.29000000000000004
153,12,24,Miami,67.19,0.07,147,54596.65,0.03,0.05,75.0,1900,527,0.415
154,1,26,Milan,74.0,0.22,195,35486.17,0.01,0.11,12.8,1466,373,0.6699999999999999
155,10,24,Milwaukee,82.97,0.06,116,54596.65,0.0,0.05,90.0,1213,482,0.155
156,8,24,Minneapolis-Saint-Paul,96.88,0.08,165,54596.65,0.03,0.05,96.0,1533,505,0.355
157,0,0,Minsk,56.93,0.2,118,18161.43,0.04,0.01,13.0,400,282,0.38
158,12,34,Montevideo,96.4,0.22,69,20556.33,0.01,0.08,302.0,753,206,0.12000000000000001
159,2,5,Montreal,80.0,0.05,98,44843.44,0.04,0.07,12.8,920,245,0.345
160,25,21,Moscow,16.0,0.18,309,24805.49,0.06,0.08,0.0,1180,747,0.905
161,0,0,Mumbai,24.29,0.06,105,5855.31,0.04,0.08,12.5,740,341,0.54
162,1,10,Munich,87.0,0.19,83,45888.42,0.04,0.04,12.8,1800,313,0.805
163,33,0,Nairobi,8.0,0.16,28,3084.43,0.14,0.4,12.5,680,149,0.22999999999999998
164,3,19,Nantes,77.0,0.2,100,40374.53,0.01,0.1,12.8,913,128,0.5
165,1,26,Naples,74.0,0.22,34,35486.17,-0.04,0.11,12.7,770,203,0.39
166,16,24,Nashville,70.0,0.09,61,54596.65,0.03,0.05,103.0,1566,380,0.19
167,19,24,New-Orleans,72.81,0.1,73,54596.65,-0.11,0.05,101.0,1400,334,0.175
168,4,24,New-York,86.72,0.09,175,54596.65,-0.01,0.05,107.0,3100,862,0.665
169,3,19,Nice,77.0,0.2,23,40374.53,-0.02,0.1,0.0,1180,109,0.645
170,2,39,Nicosia,73.65,0.19,27,30769.09,0.03,0.12,336.0,603,244,0.16
171,16,16,Oklahoma-City,67.67,0.08,109,54596.65,0.05,0.05,139.0,1003,356,0.14
